time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447900000	20.3165	11.3528	4.84346	1.4415	0.480664	lidar	0.00117518	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2616	11.6025	4.80681	1.51993	0.569013	radar	10.817	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3335	11.8425	4.81639	1.52384	0.542075	lidar	4.7288	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3597	12.0763	4.82879	1.5283	0.496982	radar	3.65592	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3469	12.3607	4.88852	1.5652	0.508421	lidar	1.11999	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2966	12.5999	4.85965	1.6246	0.567424	radar	3.2846	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3216	12.8395	4.85597	1.63667	0.550044	lidar	1.82714	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3087	13.0715	4.839	1.66353	0.553277	radar	2.11006	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2733	13.2861	4.80268	1.69356	0.556794	lidar	1.05673	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2345	13.5209	4.80274	1.72001	0.550146	radar	1.29314	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2144	13.7784	4.82973	1.74084	0.542317	lidar	1.28408	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1581	14.0064	4.81412	1.7778	0.56094	radar	0.869193	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1032	14.2605	4.84239	1.80673	0.561123	lidar	0.33989	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0312	14.4895	4.83854	1.83837	0.56352	radar	1.3878	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9232	14.7425	4.88039	1.88146	0.57817	lidar	1.22567	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8566	14.961	4.86282	1.89836	0.553893	radar	3.39778	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8253	15.18	4.83008	1.90801	0.535837	lidar	2.1522	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.6923	15.3906	4.81176	1.98424	0.633331	radar	7.92724	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6618	15.5812	4.74145	1.99245	0.610557	lidar	3.65109	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5675	15.7873	4.72742	2.01897	0.60297	radar	1.35869	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.464	16.0002	4.72855	2.04822	0.601991	lidar	0.0110604	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3625	16.2089	4.72584	2.06386	0.570659	radar	1.83433	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2527	16.3869	4.6847	2.09381	0.573277	lidar	0.739328	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1344	16.5841	4.67846	2.12357	0.576324	radar	0.281633	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
