time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449039652	9.30435	-12.8201	-2.47129	1.03659	-0.725604	lidar	0.553711	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954
1477010449089745	9.14285	-12.8944	-2.41741	0.869945	-0.90794	radar	23.3688	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629
1477010449139839	9.01464	-12.9885	-2.45002	0.794091	-0.934648	lidar	1.75397	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627
1477010449194745	8.87004	-13.0652	-2.4552	0.682192	-1.0166	radar	4.0027	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651
1477010449249651	8.74499	-13.133	-2.45145	0.611785	-1.03031	lidar	0.775661	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651
1477010449299701	8.59352	-13.1834	-2.47991	0.494315	-1.1214	radar	4.9267	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005
1477010449349751	8.45897	-13.2291	-2.49079	0.42173	-1.13566	lidar	0.835558	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995
1477010449404748	8.26909	-13.2524	-2.55552	0.273778	-1.25422	radar	8.68182	8.22926	-13.1698	8.2	-13.15	-2.72741	0
1477010449459745	8.11645	-13.2658	-2.55367	0.18811	-1.26966	lidar	1.03083	8.03583	-13.1513	8.05	-13.15	-2.72742	0
1477010449514693	7.95459	-13.2694	-2.5824	0.0881968	-1.30888	radar	1.52357	7.82914	-13.0525	7.9	-13.15	-2.72986	0
1477010449569641	7.80651	-13.2588	-2.57602	0.00387998	-1.32084	lidar	0.556129	7.76538	-13.1647	7.75	-13.15	-2.72986	0
1477010449619676	7.72683	-13.2853	-2.46452	0.00236299	-1.22756	radar	7.66871	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304
1477010449669711	7.57408	-13.2811	-2.50476	-0.0663309	-1.23012	lidar	0.91423	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304
1477010449724687	7.43163	-13.2608	-2.50622	-0.13805	-1.2319	radar	0.790603	7.21108	-13.0985	7.3	-13.25	-2.72846	0
1477010449779664	7.2689	-13.242	-2.54758	-0.20584	-1.22802	lidar	0.657538	7.16011	-13.2382	7.15	-13.25	-2.72844	0
